Cloverdale Unified, , https://cusdabi.cusd.org/parent/
Coalinga-Huron Unified, , https://aeries.chusd.org/portal/
Earlimart, , https://portal.earlimart.org/parent/
Firebaugh-Las Deltas Unified, , https://fldusd.asp.aeries.net/Student/
Golden Plains Unified, , https://goldenplainsusd.asp.aeries.net/Student/
Guerneville Elementary, , https://aeries.scoe.org/guerneville/parent/
Hughson Unified, , https://aeries.hughson.k12.ca.us/Parent/
Kern County, , https://kerncoe.asp.aeries.net/student/
Konocti Unified, , https://konoctiusd.asp.aeries.net/student/
Lassen View Union Elementary District, , https://lvesdportal.tehamaschools.org/
Lone Pine Unified, , https://lonepineusd.asp.aeries.net/student/
Los Angeles County High School for the Arts, LACHSA,https://lachsa.asp.aeries.net/student/
Los Gatos-Saratoga,LGSUHSD,https://lgsuhsd.asp.aeries.net/student/
Mariposa County Unified, , https://mariposacountyusd.asp.aeries.net/Student/
Martinez Unified, , https://aeriesweb.martinez.k12.ca.us/pp/
Maxwell Unified, , https://musdaeriesnet.maxwell.k12.ca.us/student/
Mount Diablo Unified, , https://net.mdusd.org/parentportal/
Mountain Empire, MECC,https://mountainempire.asp.aeries.net/Student/
Newport-Mesa Unified, , https://aeries.nmusd.us/aeries.net/
Pacheco Union Elementary, , https://parent-net.pacheco.k12.ca.us/
Patterson Joint Unified, , https://pattersonjusd.asp.aeries.net/student/
Pierce Joint Unified, , https://piercejusd.aeries.net/student/
Placer Hills Union,PHUSD,https://aeriesportal.placercoe.k12.ca.us/parent/phusd/
Porterville Unified,PUSD,https://portervilleusd.asp.aeries.net/student/
Riverdale Unified, , https://aeries.rjusd.org/aeries.net/
Samueli Academy, , https://eportal.sausd.us/ParentPortal/
San Benito, , https://sanbenitohsd.asp.aeries.net/student/
San Gabriel Mission High School,SGMHS,https://sis.sgusd.k12.ca.us/Aeries.Net/
Santa Maria-Bonita, , https://aeries.smbsd.net/Aeries.net/
Sebastopol Union, , https://aeries.scoe.org/Sebastopol/parent/
Sierra Unified, , https://sierrausd.asp.aeries.net/student/
Snowline Joint Unified, , https://aeries.snowlineschools.com/parent/
Travis Unified, , https://aeries.travisusd.org/parent/
Twin Rivers Unified, , https://parent.twinriversusd.org/
Walnut Valley Unified,WVUSD,https://parents.wvusd.k12.ca.us/aeries.net/
Williams Unified, , https://williamsusd.asp.aeries.net/student/
Wright Elementary, , https://student.lvusd.org/
Valley Oaks Charter School District, , https://kerncoe.asp.aeries.net/student/
Lowell Joint School District, , https://aeries.ljsd.org/parent/
Murrieta Valley, , https://aeriesnet.murrieta.k12.ca.us/parent/
Garden Grove Unified, GGUSD, https://mykids.ggusd.us/
Placentia Yorba Linda Unified, PYLUSD, https://portal.pylusd.org/
Riverside Unified, RUSD,https://aeriesportal.rusd.k12.ca.us/
Mater Dei High School District, , https://materdei.asp.aeries.net/Student/
Selma Unified School District, , https://sdosis.selmausd.org/aeries.net/
Delano Joint Union High School District, , https://djuhsdportal.djuhsd.org/djuhsdportal/
Saddleback Valley USD, , https://familyportal.svusd.org/ParentPortal/
Paso Robles Joint Unified, , https://aeries.pasoschools.org/parentportal/
San Bernardino City Unified, , https://sbcusd.asp.aeries.net/student/
Marysville Joint Unified School District, , https://aeries-1.mjusd.com/parent/
Redlands Unified School District, , https://redlands.asp.aeries.net/student/
